method,seed,episode,reward,avg_latency_s,energy_seu,deadline_miss_rate,completed_tasks,total_tasks,rejected_tasks,completion_ratio,decision_ms,offload_msgs_per_step,cloud_msgs_per_step
Pure MAPPO,1,1,42.65521141760646,0.0212624584717608,33019.422687587874,0.0,3010,3010,0,1.0,0.11880019298890451,0.0,9.995833333333334
Pure MAPPO,1,2,42.043477430183806,0.025201612903225805,33022.31028774581,0.0,2976,2974,0,1.0006724949562877,0.12041620958027327,0.0,9.995
Pure MAPPO,1,3,41.640902942792344,0.028126058963063368,33023.26428347426,0.00033886818027787193,2951,2949,0,1.0006781959986437,0.1190581712629258,0.0,9.995555555555555
Pure MAPPO,1,4,43.56670353748231,0.019801980198019802,33018.613154738945,0.0,3030,3027,0,1.0009910802775024,0.11956349367715625,0.0,9.995555555555555
Pure MAPPO,1,5,42.867889966223274,0.02044235924932976,33017.838560404125,0.0,2984,2980,0,1.0013422818791946,0.11670164920926457,0.0,9.99611111111111
Pure MAPPO,1,6,43.96529662608607,0.020642201834862386,33018.59744058309,0.0,3052,3051,0,1.0003277613897084,0.12006493795262133,0.0,9.995555555555555
Pure MAPPO,1,7,44.022247887359725,0.019003931847968544,33018.82466328427,0.0,3052,3051,0,1.0003277613897084,0.11910605757374369,0.0,9.99611111111111
Pure MAPPO,1,8,42.99548328870692,0.021696252465483234,33021.4366920043,0.0,3042,3040,0,1.000657894736842,0.11926729327145343,0.0,9.994722222222222
Pure MAPPO,1,9,44.53304939048175,0.020294599018003272,33019.35691342357,0.0,3055,3055,0,1.0,0.10588282344138457,0.0,9.99611111111111
Pure MAPPO,2,0,42.24872428904745,0.019831932773109243,33018.6307372885,0.0,2975,2975,0,1.0,0.10816487854754087,0.0,9.995833333333334
Pure MAPPO,2,1,41.75517938469231,0.018307426597582038,33017.12303893251,0.0,2895,2895,0,1.0,0.11314684191731633,0.0,9.995555555555555
Pure MAPPO,2,2,43.48429726811133,0.01415870925255186,33013.67198038624,0.0,3037,3036,0,1.0003293807641633,0.11169007296363513,0.0,9.995833333333334
Pure MAPPO,2,3,43.667195446405444,0.02570777741620566,33022.63512714974,0.0,3073,3073,0,1.0,0.13026530252278057,0.0,9.995277777777778
Pure MAPPO,2,4,41.94660757777277,0.021234240212342402,33020.14715120949,0.0,3014,3014,0,1.0,0.13028076246781792,0.0,9.995833333333334
Pure MAPPO,2,5,44.426408170192396,0.023106546854942234,33022.54156478153,0.0,3116,3115,0,1.0003210272873195,0.10681391908049895,0.0,9.995555555555555
Pure MAPPO,2,6,43.93861622325045,0.025806451612903226,33021.75249091933,0.0,3100,3099,0,1.000322684737012,0.08827622937355449,0.0,9.99638888888889
Pure MAPPO,2,7,42.59545044951368,0.014680778422669852,33014.68385606234,0.0,2929,2929,0,1.0,0.1742133126180205,0.0,9.995833333333334
Pure MAPPO,2,8,42.27453731021998,0.021643557659790327,33020.40129472458,0.0,2957,2957,0,1.0,0.1070722011597051,0.0,9.994722222222222
Pure MAPPO,2,9,43.91700058355159,0.019007731958762885,33020.19560491356,0.0,3104,3104,0,1.0,0.15300542535907072,0.0,9.994722222222222
Pure MAPPO,3,0,43.575151592480445,0.015430072225869994,33017.16218574615,0.0,3046,3045,0,1.000328407224959,0.11662822855739957,0.0,9.995555555555555
Pure MAPPO,3,1,43.6017980458198,0.024625623960066557,33020.265329601396,0.0,3005,3005,0,1.0,0.09399635293650337,0.0,9.99611111111111
Pure MAPPO,3,2,42.9084704503215,0.02707275803722504,33022.89147217596,0.0,2955,2954,0,1.0003385240352065,0.12564760685038184,0.0,9.99611111111111
Pure MAPPO,3,3,43.020492443230154,0.020188425302826378,33017.612248964,0.0,2972,2972,0,1.0,0.12685077937041772,0.0,9.995555555555555
Pure MAPPO,3,4,43.65043848180654,0.023155805491233875,33019.7559206775,0.0,3023,3023,0,1.0,0.10514809385575873,0.0,9.995833333333334
Pure MAPPO,3,5,42.516703452974674,0.021433355659745478,33018.55474901118,0.0,2986,2984,0,1.0006702412868633,0.10789868874255465,0.0,9.995555555555555
Pure MAPPO,3,6,42.55313172477253,0.014750251424740195,33014.4339476674,0.0,2983,2983,0,1.0,0.11319263743320739,0.0,9.995833333333334
Pure MAPPO,3,7,44.539387384393294,0.01981162715167262,33020.461845283004,0.0,3079,3078,0,1.0003248862897987,0.06825868495474827,0.0,9.995277777777778
Pure MAPPO,3,8,43.213985970230695,0.016903313049357674,33015.51227201263,0.0,2958,2957,0,1.0003381805884342,0.12011460267563556,0.0,9.995833333333334
Pure MAPPO,3,9,42.061527519760574,0.027201632097925876,33021.05874112912,0.0,2941,2940,0,1.0003401360544217,0.11808576527012822,0.0,9.995833333333334
Pure MAPPO,4,0,44.21720022632762,0.016563819421890225,33016.53802848497,0.0,3079,3079,0,1.0,0.10519564382815992,0.0,9.99611111111111
Pure MAPPO,4,1,43.77152047053968,0.017184401850627893,33016.47670945995,0.0,3026,3026,0,1.0,0.11945778109172049,0.0,9.99638888888889
Pure MAPPO,4,2,42.23817549535192,0.014915254237288136,33017.44068416752,0.0,2950,2949,0,1.0003390979993219,0.11384595409456072,0.0,9.995555555555555
Pure MAPPO,4,3,43.36386088144747,0.01670564650851988,33014.91663812236,0.0,2993,2991,0,1.000668672684721,0.1198294704129997,0.0,9.995833333333334
Pure MAPPO,4,4,42.4891226328211,0.02228224172856178,33020.97178958795,0.0,2962,2960,0,1.0006756756756756,0.11924350499854577,0.0,9.995
Pure MAPPO,4,5,43.1690694960414,0.02206124464932499,33019.827105901575,0.0,3037,3036,0,1.0003293807641633,0.12087815008837627,0.0,9.995277777777778
Pure MAPPO,4,6,42.292564334108235,0.018512285425782565,33018.68308231186,0.0,2971,2969,0,1.0006736274840013,0.12035568496988465,0.0,9.995
Pure MAPPO,4,7,42.4151741329545,0.011627906976744186,33014.01663227069,0.0,2924,2922,0,1.000684462696783,0.11791644658822202,0.0,9.99611111111111
Pure MAPPO,4,8,41.81499946522241,0.015285326086956522,33015.818582399676,0.0,2944,2944,0,1.0,0.11911187687332535,0.0,9.995277777777778
Pure MAPPO,4,9,43.909171216834615,0.021442495126705652,33022.1068462587,0.0003248862897985705,3078,3075,0,1.0009756097560976,0.11827639531273032,0.0,9.993333333333334
Pure MAPPO,5,0,44.08603315745823,0.022243713733075435,33022.54693848401,0.0,3102,3101,0,1.000322476620445,0.11991868619386675,0.0,9.994166666666667
Pure MAPPO,5,1,42.28547939275843,0.020701168614357262,33020.72556150288,0.0,2995,2995,0,1.0,0.12003131427627521,0.0,9.995277777777778
Pure MAPPO,5,2,41.96770275748897,0.021016949152542375,33019.059683529325,0.0,2950,2950,0,1.0,0.11817250243135882,0.0,9.995555555555555
Pure MAPPO,5,3,43.72146610733613,0.02241265655899802,33019.35231676935,0.0,3034,3033,0,1.0003297065611605,0.11257924031977179,0.0,9.995277777777778
Pure MAPPO,5,4,43.56369344449029,0.022083058668424523,33018.675106313116,0.0,3034,3034,0,1.0,0.11921308178150665,0.0,9.995833333333334
